Email,Consent Date
emma.thompson@brightwave.io,2026-06-14T15:00:00Z
liam.carter@harborlogistics.com,2026-06-14T15:00:00Z
sofia.reyes@lakeshoreretail.com,2026-06-14T15:00:00Z
noah.williams@cedarfinancial.com,2026-06-14T15:00:00Z
ava.patel@summithealth.io,2026-06-14T15:00:00Z
lucas.bennett@cascadetech.io,2026-06-14T15:00:00Z
mia.johnson@coastalretail.com,2026-06-14T15:00:00Z
ethan.brown@northwind.ca,2026-06-14T15:00:00Z
olivia.martin@maplesolutions.ca,2026-06-14T15:00:00Z
daniel.garcia@solventures.com,2026-06-14T15:00:00Z
charlotte.davis@riverside.io,2026-06-14T15:00:00Z
jacob.morgan@granitesystems.ca,2026-06-14T15:00:00Z
grace.kim@pacificmedia.io,2026-06-14T15:00:00Z
james.wilson@anvilmfg.ca,2026-06-14T15:00:00Z
isabella.lopez@horizondigital.io,2026-06-14T15:00:00Z
